code,config,period,d_qsim_l2_rel,d_qsim_max_abs,d_qsim_max_norm,n_steps
I200101001,GR4J_KGE,cal,4.2495330975530305e-15,3.8191672047105385e-14,8.175389094006396e-14,3653
I202101001,GR4J_KGE,cal,1.4267119770933694e-14,6.838973831690964e-14,1.368545669425485e-13,3653
I346301001,GR4J_KGE,cal,3.378398803177709e-15,3.241851231905457e-14,2.7179029786972324e-14,3653
I403201001,GR4J_KGE,cal,4.924828529992702e-15,3.4638958368304884e-14,3.960749586802158e-14,3653
I505301001,GR4J_KGE,cal,1.0931079264322571e-15,2.3092638912203256e-14,1.737340443569503e-14,3653
I532151001,GR4J_KGE,cal,4.244261914454056e-15,3.241851231905457e-14,4.529812815555949e-14,3653
I722202001,GR4J_KGE,cal,1.792609604922479e-15,4.796163466380676e-14,3.1154253205107827e-14,3653
I903101001,GR4J_KGE,cal,4.869588144173529e-15,4.707345624410664e-14,4.095879019654899e-14,3653
J032301001,GR4J_KGE,cal,4.082633402431033e-15,3.8191672047105385e-14,5.219121135007923e-14,3653
J110301001,GR4J_KGE,cal,4.080673389116951e-15,3.730349362740526e-14,4.972852909376888e-14,3653
J132401001,GR4J_KGE,cal,4.458490747747139e-15,3.2862601528904634e-14,4.489847719491809e-14,3653
J151301001,GR4J_KGE,cal,6.871152192400002e-15,6.927791673660977e-14,6.115828752130798e-14,3653
J172172001,GR4J_KGE,cal,4.299325278458156e-15,3.885780586188048e-14,3.3124677793603965e-14,3653
J181301001,GR4J_KGE,cal,4.93996094333809e-15,5.062616992290714e-14,6.816939252486692e-14,3653
J221311001,GR4J_KGE,cal,2.598588965546746e-15,4.796163466380676e-14,2.805606913476962e-14,3653
J223301001,GR4J_KGE,cal,4.5027033283589884e-15,5.595524044110789e-14,3.4590092628159296e-14,3653
J251401001,GR4J_KGE,cal,7.219279350206374e-15,6.661338147750939e-14,5.984001147347455e-14,3653
J261401002,GR4J_KGE,cal,5.243486587484417e-15,6.661338147750939e-14,4.2037878973268035e-14,3653
J320571001,GR4J_KGE,cal,5.600362808376694e-15,5.773159728050814e-14,3.380812486590629e-14,3653
J421191001,GR4J_KGE,cal,3.271410664956903e-15,8.171241461241152e-14,4.262075188864748e-14,3653
J471201002,GR4J_KGE,cal,3.568878624824e-15,5.684341886080802e-14,3.201536944597857e-14,3653
J570481001,GR4J_KGE,cal,4.15164655305679e-15,7.105427357601002e-14,4.33372971804476e-14,3653
J813301001,GR4J_KGE,cal,4.529410412313237e-15,4.618527782440651e-14,4.2696989474202525e-14,3653
K066331001,GR4J_KGE,cal,2.243342457055844e-15,4.973799150320701e-14,5.93839287868966e-14,3653
K075321001,GR4J_KGE,cal,5.548552311831429e-15,7.815970093361102e-14,6.379687878480705e-14,3653
K125181001,GR4J_KGE,cal,2.691897669869672e-15,4.796163466380676e-14,7.334183393600431e-14,3653
K152401001,GR4J_KGE,cal,2.0235530986945166e-15,4.3520742565306136e-14,3.353570352067981e-14,3653
K175311001,GR4J_KGE,cal,2.6298009281686666e-15,4.1744385725905886e-14,4.038414764332167e-14,3653
K222302001,GR4J_KGE,cal,4.895028378143985e-15,1.0658141036401503e-13,8.245848519819075e-14,3653
K222303001,GR4J_KGE,cal,4.932670792018536e-15,5.3290705182007514e-14,5.087722685445032e-14,3653
K225401001,GR4J_KGE,cal,4.553656506898511e-15,6.394884621840902e-14,6.084298698315612e-14,3653
K337301001,GR4J_KGE,cal,3.401425297967385e-15,4.618527782440651e-14,7.862550072680295e-14,3653
