category,case,name,kind,n_values,max_abs,max_rel,worst
"Snow module, band by band",CemaNeigeGR4J / band 1,SnowPack,series,2191,4.973799150320701e-13,9.540372603150199e-13,1.833877075479937e-14
"Snow module, band by band",CemaNeigeGR4J / band 1,ThermalState,series,2191,8.881784197001252e-16,4.728324638911377e-14,6.661338147750939e-16
"Snow module, band by band",CemaNeigeGR4J / band 1,Gratio,series,2191,2.4424906541753444e-15,8.717672526887202e-13,2.4424906541753444e-15
"Snow module, band by band",CemaNeigeGR4J / band 1,PotMelt,series,2191,3.410605131648481e-13,9.540372603150199e-13,1.833877075479937e-14
"Snow module, band by band",CemaNeigeGR4J / band 1,Melt,series,2191,5.1514348342607263e-14,7.96051468191054e-13,2.16458124873998e-14
"Snow module, band by band",CemaNeigeGR4J / band 1,PliqAndMelt,series,2191,5.1958437552457326e-14,7.96051468191054e-13,2.15424498179016e-14
"Snow module, band by band",CemaNeigeGR4J / band 1,Temp,series,2191,7.105427357601002e-15,1.292017484845804e-14,7.716446453581397e-16
"Snow module, band by band",CemaNeigeGR4J / band 1,Gthreshold,series,2191,2.1600499167107046e-12,3.608972260688151e-15,3.608972260688151e-15
"Snow module, band by band",CemaNeigeGR4J / band 1,Glocalmax,series,2191,0.0,0.0,0.0
"Snow module, band by band",CemaNeigeGR4J / band 2,Pliq,series,2191,3.552713678800501e-15,1.907964027153302e-14,4.969679898729315e-16
"Snow module, band by band",CemaNeigeGR4J / band 2,Psol,series,2191,7.105427357601002e-15,1.8549138946979153e-13,1.5265566588595902e-15
"Snow module, band by band",CemaNeigeGR4J / band 2,SnowPack,series,2191,7.105427357601002e-13,8.106813699515567e-13,1.7192595397018156e-14
"Snow module, band by band",CemaNeigeGR4J / band 2,ThermalState,series,2191,1.7763568394002505e-15,1.4603071441031992e-13,6.199245187601037e-16
"Snow module, band by band",CemaNeigeGR4J / band 2,Gratio,series,2191,3.774758283725532e-15,6.666066136045792e-13,3.774758283725532e-15
"Snow module, band by band",CemaNeigeGR4J / band 2,PotMelt,series,2191,4.760636329592671e-13,8.106813699515567e-13,1.7192595397018156e-14
"Snow module, band by band",CemaNeigeGR4J / band 2,Melt,series,2191,8.79296635503124e-14,8.758451203912966e-13,2.0675637084504736e-14
"Snow module, band by band",CemaNeigeGR4J / band 2,PliqAndMelt,series,2191,8.79296635503124e-14,7.971317105501331e-13,1.664916487431715e-14
"Snow module, band by band",CemaNeigeGR4J / band 2,Temp,series,2191,3.552713678800501e-15,7.175447105178097e-14,4.440892098500626e-16
"Snow module, band by band",CemaNeigeGR4J / band 2,Gthreshold,series,2191,2.1600499167107046e-12,3.608972260688151e-15,3.608972260688151e-15
"Snow module, band by band",CemaNeigeGR4J / band 2,Glocalmax,series,2191,0.0,0.0,0.0
"Snow module, band by band",CemaNeigeGR4J / band 3,Pliq,series,2191,3.552713678800501e-15,1.3429460216558872e-14,6.938893903907228e-16
